"CountyState","lon","lat","CountryofBirth","MajorClassAdmission","Admissions"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference2nd","4"
"Ada County, Idaho",-116.2420304,43.478767,"Bhutan","RefugeeandAsyleeAdjustments","13"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference3rdSkilled","4"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Hong Kong","EmploymentPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Burma","RefugeeandAsyleeAdjustments","27"
"Ada County, Idaho",-116.2420304,43.478767,"Hong Kong","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesSpouses","13"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference3rd","4"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference3rdSkilled","7"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference1st","17"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference4th","6"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference2nd","5"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference1st","5"
"Ada County, Idaho",-116.2420304,43.478767,"Bangladesh","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference2nd","5"
"Ada County, Idaho",-116.2420304,43.478767,"Cambodia","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Cambodia","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference2nd","5"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference1st","9"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesChildren","5"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference1st","4"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","ImmediateRelativesSpouses","5"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Laos","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesParents","5"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesSpouses","7"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesParents","7"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesSpouses","13"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","FamilyPreference1st","5"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Sri Lanka","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","RefugeeandAsyleeAdjustments","7"
"Ada County, Idaho",-116.2420304,43.478767,"India","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","ImmediateRelativesSpouses","4"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","DiversityProgram","D"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","RefugeeandAsyleeAdjustments","4"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesParents","22"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesChildren","7"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","RefugeeandAsyleeAdjustments","5"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","ImmediateRelativesParents","4"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","ImmediateRelativesChildren","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Cambodia","ImmediateRelativesSpouses","4"
"Adams County, Colorado",-104.1930918,39.8398269,"Cambodia","ImmediateRelativesParents","D"
"Adams County, Colorado",-104.1930918,39.8398269,"India","EmploymentPreference4th","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","FamilyPreference3rd","12"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","ImmediateRelativesChildren","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","ImmediateRelativesParents","10"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","FamilyPreference4th","33"
"Adams County, Colorado",-104.1930918,39.8398269,"Burma","RefugeeandAsyleeAdjustments","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","FamilyPreference2nd","18"
"Adams County, Colorado",-104.1930918,39.8398269,"Bhutan","RefugeeandAsyleeAdjustments","D"
"Adams County, Colorado",-104.1930918,39.8398269,"India","ImmediateRelativesSpouses","5"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","FamilyPreference1st","4"
"Adams County, Colorado",-104.1930918,39.8398269,"India","FamilyPreference3rd","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","FamilyPreference4th","5"
