"CountyState","lon","lat","CountryofBirth","MajorClassAdmission","Admissions"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference1st","11"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesSpouses","11"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesParents","5"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","RefugeeandAsyleeAdjustments","13"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","Other","D"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","EmploymentPreference2nd","4"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference2nd","22"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference2nd","4"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference1st","13"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference2nd","10"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference2nd","5"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","Other","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","EmploymentPreference5th","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesSpouses","11"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesChildren","7"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference3rdSkilled","10"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","RefugeeandAsyleeAdjustments","5"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Burma","RefugeeandAsyleeAdjustments","28"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference2nd","D"
