"CountyState","lon","lat","CountryofBirth","MajorClassAdmission","Admissions"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","FamilyPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","RefugeeandAsyleeAdjustments","9"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","ImmediateRelativesSpouses","4"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","EmploymentPreference2nd","6"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference2nd","13"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesParents","5"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","RefugeeandAsyleeAdjustments","10"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","FamilyPreference3rd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","RefugeeandAsyleeAdjustments","16"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","ImmediateRelativesSpouses","4"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","RefugeeandAsyleeAdjustments","6"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesSpouses","11"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesChildren","4"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesSpouses","7"
"Ada County, Idaho",-116.2420304,43.478767,"Laos","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Singapore","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference3rd","7"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Bangladesh","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Burma","RefugeeandAsyleeAdjustments","26"
"Ada County, Idaho",-116.2420304,43.478767,"Cambodia","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesParents","6"
"Ada County, Idaho",-116.2420304,43.478767,"Laos","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Laos","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesSpouses","11"
"Ada County, Idaho",-116.2420304,43.478767,"India","FamilyPreference4th","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesParents","4"
"Ada County, Idaho",-116.2420304,43.478767,"Bhutan","RefugeeandAsyleeAdjustments","11"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference1st","10"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesParents","11"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference1st","10"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference4th","6"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Japan","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Mongolia","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, South","EmploymentPreference2nd","5"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, South","ImmediateRelativesChildren","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, North","RefugeeandAsyleeAdjustments","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, South","EmploymentPreference3rdSkilled","D"
