"CountyState","lon","lat","CountryofBirth","MajorClassAdmission","Admissions"
"Ada County, Idaho",-116.2420304,43.478767,"Bangladesh","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Bhutan","RefugeeandAsyleeAdjustments","15"
"Ada County, Idaho",-116.2420304,43.478767,"Burma","RefugeeandAsyleeAdjustments","12"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","RefugeeandAsyleeAdjustments","4"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesSpouses","10"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesChildren","5"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesParents","10"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference4th","5"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference4th","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference3rdSkilled","5"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference2nd","4"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference1st","6"
"Ada County, Idaho",-116.2420304,43.478767,"Hong Kong","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesSpouses","7"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","FamilyPreference4th","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference1st","5"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","ImmediateRelativesSpouses","7"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference2nd","6"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference2nd","6"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference1st","6"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","ImmediateRelativesSpouses","4"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","RefugeeandAsyleeAdjustments","11"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","EmploymentPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","RefugeeandAsyleeAdjustments","13"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","RefugeeandAsyleeAdjustments","17"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesChildren","6"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","EmploymentPreference2nd","10"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","FamilyPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesSpouses","13"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Singapore","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Singapore","EmploymentPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference2nd","4"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","ImmediateRelativesSpouses","6"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","RefugeeandAsyleeAdjustments","8"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesSpouses","7"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesParents","6"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference2nd","D"
